Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	AL-01126	AL-01127N	AL-01127C	AL-01128N	AL-01128C	AL-01129N	AL-01129C	AL-01130N	AL-01130C	AL-01131N
sp|P50516|VATA_MOUSE	P50516	VATA_MOUSE	Atp6v1a	617	Mus musculus OX=10090	V-type proton ATPase catalytic subunit A 	1:Experimental evidence at protein level	1.0000	0.9990	20	8	20	41	13	41	488304386	10408496	488304386	10M(15.9949), 11K(229.1629), 12K(229.1629), 15K(229.1629), 18K(229.1629), 1C(57.0214), 21K(229.1629), 22C(57.0214), 24K(229.1629), 2K(229.1629), 3K(229.1629), 3M(15.9949), 3S(229.1629), 4M(15.9949), 6K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1629)			2998448.6970	3412485.5845	2573914.9978	2516529.7057	3887035.7695	3077638.6795	2902077.3012	2706950.5502	2327596.0303	2153816.0699
sp|P50518|VATE1_MOUSE	P50518	VATE1_MOUSE	Atp6v1e1	226	Mus musculus OX=10090	V-type proton ATPase subunit E 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	8	11	20	13	20	20121859	13395930	20121859	11K(229.1629), 12K(229.1629), 14K(229.1629), 1K(229.1629), 6K(229.1629), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1629), N-term(42.0106)			1804089.8266	1988762.9989	1456945.7140	1475807.3835	2311611.6665	1769485.8298	1743486.9198	1360878.8395	1493642.5451	1179361.1710
sp|P50543|S10AB_MOUSE	P50543	S10AB_MOUSE	S100a11	98	Mus musculus OX=10090	Protein S100-A11 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	16	16	16	55160298	55160298	55160298	11K(229.1629), 16K(229.1629), 1C(57.0214), 7M(15.9949), 9K(229.1629), N-term(229.1629)			3541146.6051	2763207.8514	2276324.0678	2122664.8829	4590761.2090	1930916.1405	2071109.4554	1494113.2258	1400032.2363	1367528.9024
sp|P50544|ACADV_MOUSE	P50544	ACADV_MOUSE	Acadvl	656	Mus musculus OX=10090	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	44	44	44	303	303	303	398226348	398226348	398226348	10K(229.1629), 10M(15.9949), 10S(229.1629), 11C(57.0214), 11K(229.1629), 11M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 13S(229.1629), 15K(229.1629), 15M(15.9949), 16K(229.1629), 16S(229.1629), 17K(229.1629), 19K(229.1629), 19M(15.9949), 19S(229.1629), 1K(229.1629), 1M(15.9949), 24K(229.1629), 26K(229.1629), 28K(229.1629), 2K(229.1629), 2M(15.9949), 2S(229.1629), 3C(57.0214), 3M(15.9949), 3S(229.1629), 5C(57.0214), 5M(15.9949), 5S(229.1629), 6K(229.1629), 6M(15.9949), 7C(57.0214), 8C(57.0214), 8K(229.1629), 8S(229.1629), 9K(229.1629), 9M(15.9949), 9S(229.1629), N-term(229.1629)			34982316.8664	31000572.3955	29398737.4494	29823265.2713	38940001.5515	41081558.9764	31027491.5770	25951341.2329	23967988.0575	22900208.4697
sp|P50580|PA2G4_MOUSE	P50580	PA2G4_MOUSE	Pa2g4	394	Mus musculus OX=10090	Proliferation-associated protein 2G4 	1:Experimental evidence at protein level	1.0000	0.9990	22	3	22	51	4	51	31390587	3214894	31390587	10K(229.1629), 11K(229.1629), 11M(15.9949), 12K(229.1629), 13K(229.1629), 13M(15.9949), 16C(57.0214), 17K(229.1629), 18K(229.1629), 19K(229.1629), 1M(15.9949), 3K(229.1629), 3M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6K(229.1629), 6M(15.9949), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			3290691.9853	3554107.9686	2644076.8109	2879156.9578	4078465.0474	3360966.1487	3648368.0173	3220049.3898	3408831.0419	3082522.1387
sp|P50608|FMOD_MOUSE	P50608	FMOD_MOUSE	Fmod	376	Mus musculus OX=10090	Fibromodulin 	2:Experimental evidence at transcript level	1.0000	0.9990	14	13	14	110	105	110	536216808	536216808	536216808	10C(57.0214), 10S(229.1629), 16M(15.9949), 18C(57.0214), 20K(229.1629), 26S(229.1629), 2C(57.0214), 3M(15.9949), 6C(57.0214), 7K(229.1629), 7S(229.1629), 8C(57.0214), 8S(229.1629), N-term(229.1629)			11856405.4267	7477253.5032	8310651.5564	12841879.2776	13242782.7378	5343988.3573	8893537.0554	7023626.6190	6311039.1232	5466635.8906
sp|P51125-2|ICAL_MOUSE	P51125-2	ICAL_MOUSE	Cast	769	Mus musculus OX=10090	Isoform 2 of Calpastatin 		1.0000	0.9990	23	0	23	43	0	43	112075596	     0	112075596	10K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 1C(57.0214), 1K(229.1629), 21K(229.1629), 24K(229.1629), 2K(229.1629), 37K(229.1629), 3K(229.1629), 4C(57.0214), 5K(229.1629), 5M(15.9949), 6K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9S(229.1629), N-term(229.1629)		sp|P51125-3|ICAL_MOUSE, sp|P51125-6|ICAL_MOUSE, sp|P51125|ICAL_MOUSE	3733272.4427	4072914.1697	2858407.2386	2478274.8641	3892620.8564	3137363.9111	2899510.6181	2454007.2721	2356485.7993	2167200.3974
sp|P51150|RAB7A_MOUSE	P51150	RAB7A_MOUSE	Rab7a	207	Mus musculus OX=10090	Ras-related protein Rab-7a 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	38	38	38	22667070	22667070	22667070	10K(229.1629), 11K(229.1629), 13K(229.1629), 16K(229.1629), 18K(229.1629), 19K(229.1629), 20K(229.1629), 3M(15.9949), 4C(57.0214), 4K(229.1629), 4M(15.9949), 5C(57.0214), 8K(229.1629), N-term(229.1629)			2404169.0823	2598845.4584	1911065.0034	2240563.4161	3094868.8984	2720983.4691	2618090.4181	2225464.9780	2380153.4872	2032541.7752
sp|P51163|HEM4_MOUSE	P51163	HEM4_MOUSE	Uros	265	Mus musculus OX=10090	Uroporphyrinogen-III synthase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	6	6	6	3773493	3773493	3773493	19C(57.0214), 21K(229.1629), 23K(229.1629), 6C(57.0214), 8K(229.1629), N-term(229.1629)			402673.6873	370159.5449	326342.1670	406386.3277	501370.9844	452411.9719	495271.4989	481295.3579	456153.0244	479702.4108
sp|P51174|ACADL_MOUSE	P51174	ACADL_MOUSE	Acadl	430	Mus musculus OX=10090	Long-chain specific acyl-CoA dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	20	20	20	160	160	160	504972624	504972624	504972624	10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14M(15.9949), 15K(229.1629), 15M(15.9949), 16K(229.1629), 1C(57.0214), 1C(57.0214), 25K(229.1629), 3S(229.1629), 4S(229.1629), 5M(15.9949), 5S(229.1629), 6C(57.0214), 6M(15.9949), 7K(229.1629), 7M(15.9949), 7S(229.1629), 8M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1629)			21146140.8036	18579370.8893	17433949.9840	16659878.6333	20986207.7891	24035221.3796	18755226.1266	16555937.8406	13877768.5650	13777839.7658
sp|P51410|RL9_MOUSE	P51410	RL9_MOUSE	Rpl9	192	Mus musculus OX=10090	60S ribosomal protein L9 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	31	31	31	37239165	37239165	37239165	10K(229.1629), 10S(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 19K(229.1629), 1K(229.1629), 27K(229.1629), 3C(57.0214), 4S(229.1629), 5C(57.0214), 9M(15.9949), N-term(229.1629)			2014417.3476	1838827.6845	1625624.0828	1731384.0165	2343381.2300	2148459.4193	2172014.2216	1706942.0104	1742354.1319	1645917.8996
sp|P51437|CAMP_MOUSE	P51437	CAMP_MOUSE	Camp	172	Mus musculus OX=10090	Cathelicidin antimicrobial peptide 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	11	11	11	5357537	5357537	5357537	18K(229.1629), 19C(57.0214), 2C(57.0214), 2K(229.1629), 6C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1629)			247970.1755	181879.4457	225299.7707	359937.6434	1516822.5586	262360.7253	546289.8252	394186.5901	353983.1784	454485.3536
sp|P51637|CAV3_MOUSE	P51637	CAV3_MOUSE	Cav3	151	Mus musculus OX=10090	Caveolin-3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	10	10	10	108843667	19928141	19928141	21K(229.1629), 2M(15.9949), 8K(229.1629), N-term(229.1629), N-term(42.0106)			820830.6533	967626.1963	637250.2824	713797.5904	1104240.9102	915680.0829	816515.6802	672999.3231	701553.4436	583199.8624
sp|P51660|DHB4_MOUSE	P51660	DHB4_MOUSE	Hsd17b4	735	Mus musculus OX=10090	Peroxisomal multifunctional enzyme type 2 	1:Experimental evidence at protein level	1.0000	0.9990	22	22	22	40	40	40	18777036	18777036	18777036	11C(57.0214), 12K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 19K(229.1629), 22K(229.1629), 23K(229.1629), 26K(229.1629), 2C(57.0214), 2M(15.9949), 3M(15.9949), 4M(15.9949), 5C(57.0214), 7C(57.0214), 7K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1629)			2105043.5805	2208456.2761	1957310.9144	2024007.0783	2545491.5264	2319808.7859	2361341.8787	1981930.7109	1894667.6858	1929921.4078
sp|P51667|MLRV_MOUSE	P51667	MLRV_MOUSE	Myl2	166	Mus musculus OX=10090	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform 	1:Experimental evidence at protein level	1.0000	0.9990	16	13	16	116	73	116	233514932	149021778	233514932	11M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14M(15.9949), 15K(229.1629), 18K(229.1629), 21K(229.1629), 22K(229.1629), 24K(229.1629), 2K(229.1629), 2M(15.9949), 3K(229.1629), 4K(229.1629), 6K(229.1629), 6M(15.9949), 7K(229.1629), 7M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1629)			5776586.9660	5102612.2660	12912967.8486	9277841.8165	8316618.9756	19814020.9266	10832482.6573	17772966.4384	12260159.3582	10911729.4902
sp|P51855|GSHB_MOUSE	P51855	GSHB_MOUSE	Gss	474	Mus musculus OX=10090	Glutathione synthetase 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	11	11	11	5955270	5955270	5955270	12M(15.9949), 1K(229.1629), 20K(229.1629), 6M(15.9949), 8K(229.1629), N-term(229.1629)			395367.1829	438331.8489	368371.8724	334613.6387	498272.0852	399427.1920	383110.0872	310417.4011	367995.6166	289427.3822
sp|P51859|HDGF_MOUSE	P51859	HDGF_MOUSE	Hdgf	237	Mus musculus OX=10090	Hepatoma-derived growth factor 	1:Experimental evidence at protein level	1.0000	0.9990	11	10	11	27	25	27	24083858	22370660	24083858	10K(229.1629), 16K(229.1629), 19K(229.1629), 1C(57.0214), 20K(229.1629), 27K(229.1629), 2C(57.0214), 2S(229.1629), 4M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1629)			1874947.1824	1794188.3842	1592187.7710	1542690.3147	2388486.2461	1837036.3714	1999171.3096	1645169.2787	1634372.4259	1549970.8727
sp|P51881|ADT2_MOUSE	P51881	ADT2_MOUSE	Slc25a5	298	Mus musculus OX=10090	ADP/ATP translocase 2 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	29	29	29	5382731264	1021116754	1021116754	12C(57.0214), 13C(57.0214), 13K(229.1629), 1K(229.1629), 5C(57.0214), 5M(15.9949), 6M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			4020382.9745	3604588.9680	2986461.7943	3657225.3159	4688041.4170	4174813.6843	4698318.0618	3491248.8125	3155011.5835	3937238.0652
sp|P51885|LUM_MOUSE	P51885	LUM_MOUSE	Lum	338	Mus musculus OX=10090	Lumican 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	114	114	114	298166280	298166280	298166280	10K(229.1629), 11K(229.1629), 12M(15.9949), 14K(229.1629), 15M(15.9949), 18C(57.0214), 18K(229.1629), 21K(229.1629), 25K(229.1629), 4M(15.9949), 6S(229.1629), 8S(229.1629), 9K(229.1629), N-term(229.1629)			23025805.2104	16135571.9533	12400471.4120	14294768.2958	25276619.0903	15910087.5598	18728372.9895	10321112.5106	14113512.7826	11664038.2728
sp|P52196|THTR_MOUSE	P52196	THTR_MOUSE	Tst	297	Mus musculus OX=10090	Thiosulfate sulfurtransferase 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	16	16	16	11551835	11551835	11551835	12C(57.0214), 12K(229.1629), 13K(229.1629), 18K(229.1629), 1K(229.1629), 5M(15.9949), 8M(15.9949), 9K(229.1629), N-term(229.1629)			799523.5126	841198.1812	685090.7884	881915.3093	1106499.4263	961573.6132	956635.1039	771684.2498	867799.6872	764429.4522
sp|P52430|PON1_MOUSE	P52430	PON1_MOUSE	Pon1	355	Mus musculus OX=10090	Serum paraoxonase/arylesterase 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	7	7	7	2634477	2634477	2634477	10K(229.1629), 24K(229.1629), 9K(229.1629), N-term(229.1629)			85614.4051	61626.1522	92716.8322	100294.3697	132749.6882	115432.6336	127337.0514	115190.2293	112674.9228	105494.8064
sp|P52480-2|KPYM_MOUSE	P52480-2	KPYM_MOUSE	Pkm	531	Mus musculus OX=10090	Isoform M1 of Pyruvate kinase PKM 		1.0000	0.9990	53	4	53	1643	190	1643	7623728768	2817685696	7623728768	10K(229.1629), 11K(229.1629), 11M(15.9949), 12M(15.9949), 12S(229.1629), 13K(229.1629), 13M(15.9949), 13S(229.1629), 14K(229.1629), 14M(15.9949), 14S(229.1629), 15M(15.9949), 15S(229.1629), 16C(57.0214), 16K(229.1629), 16S(229.1629), 17K(229.1629), 18K(229.1629), 18M(15.9949), 19K(229.1629), 19M(15.9949), 1C(57.0214), 1C(57.0214), 1K(229.1629), 20K(229.1629), 20M(15.9949), 20S(229.1629), 21K(229.1629), 21M(15.9949), 22K(229.1629), 22M(15.9949), 23K(229.1629), 24K(229.1629), 25K(229.1629), 27M(15.9949), 28C(57.0214), 29M(15.9949), 2K(229.1629), 2S(229.1629), 30C(57.0214), 30M(15.9949), 31C(57.0214), 3K(229.1629), 3M(15.9949), 3S(229.1629), 4C(57.0214), 4S(229.1629), 5M(15.9949), 5S(229.1629), 6C(57.0214), 6M(15.9949), 6S(229.1629), 7C(57.0214), 7K(229.1629), 8K(229.1629), 8M(15.9949), 8S(229.1629), 9K(229.1629), 9M(15.9949), 9S(229.1629), N-term(229.1629), N-term(42.0106)			508164626.6231	560939847.7993	394347477.4885	365421475.1046	535517998.9646	430857915.7848	350579335.7600	286671268.1411	345629721.1108	265938270.8216
sp|P52480|KPYM_MOUSE	P52480	KPYM_MOUSE	Pkm	531	Mus musculus OX=10090	Pyruvate kinase PKM 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	8	8	8	7623728768	11187982	11187982	11K(229.1629), 1C(57.0214), 22K(229.1629), 2C(57.0214), N-term(229.1629)			628599.2839	284357.9193	399687.8729	551858.4310	921518.2676	541699.7373	711907.3998	531744.2218	519370.6436	587618.9127
sp|P52503|NDUS6_MOUSE	P52503	NDUS6_MOUSE	Ndufs6	116	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	42	42	42	199245744	199245744	199245744	11K(229.1629), 12K(229.1629), 15K(229.1629), 2K(229.1629), 4C(57.0214), 7C(57.0214), 7K(229.1629), N-term(229.1629)			9382452.0995	9998374.8861	8008023.2838	7054234.8304	10642351.1328	10127781.0645	7100053.7727	6594263.7455	5522781.3147	5845272.1475
sp|P52760|RIDA_MOUSE	P52760	RIDA_MOUSE	Rida	135	Mus musculus OX=10090	2-iminobutanoate/2-iminopropanoate deaminase 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	21	21	21	37604244	37604244	37604244	11K(229.1629), 14K(229.1629), 19K(229.1629), 1K(229.1629), 27K(229.1629), 4C(57.0214), 7K(229.1629), 8M(15.9949), N-term(229.1629)			1684780.7362	1941515.2806	1471603.9239	1540293.5947	2223377.5566	1641958.5705	1780231.5987	1466979.4351	1645790.3130	1321453.5732
sp|P52825|CPT2_MOUSE	P52825	CPT2_MOUSE	Cpt2	658	Mus musculus OX=10090	Carnitine O-palmitoyltransferase 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	36	36	36	118	118	118	106606498	106606498	106606498	10C(57.0214), 11K(229.1629), 11M(15.9949), 12C(57.0214), 12K(229.1629), 13M(15.9949), 14K(229.1629), 16M(15.9949), 17K(229.1629), 18K(229.1629), 19S(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 20S(229.1629), 25K(229.1629), 26K(229.1629), 27K(229.1629), 2K(229.1629), 3K(229.1629), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6K(229.1629), 6S(229.1629), 7K(229.1629), 7M(15.9949), 8C(57.0214), 8K(229.1629), 9M(15.9949), N-term(229.1629)			14234252.1689	14750851.6881	14282025.3744	12645274.6480	16577522.6919	18284192.1922	12636684.8979	10584041.0667	9507414.9473	8999324.3389
sp|P53026|RL10A_MOUSE	P53026	RL10A_MOUSE	Rpl10a	217	Mus musculus OX=10090	60S ribosomal protein L10a 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	25	25	25	81865792	81865792	81865792	11M(15.9949), 13K(229.1629), 14K(229.1629), 14M(15.9949), 17K(229.1629), 1K(229.1629), 3K(229.1629), 3S(229.1629), 6S(229.1629), 7M(15.9949), 8K(229.1629), N-term(229.1629)			3079321.1556	3049292.3962	2351311.7475	2483984.9350	3414741.3281	3214056.0017	3203781.8364	2467727.6396	2644900.3160	2441223.4825
sp|P53395|ODB2_MOUSE	P53395	ODB2_MOUSE	Dbt	482	Mus musculus OX=10090	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	21	21	21	62	62	62	26919251	26919251	26919251	10K(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15K(229.1629), 17K(229.1629), 20C(57.0214), 21K(229.1629), 26K(229.1629), 2M(15.9949), 3K(229.1629), 3M(15.9949), 4M(15.9949), 6K(229.1629), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629)			4787594.6250	4371495.6548	4317460.3187	4456161.5645	6506221.5078	5807572.3105	4637709.6109	3764186.5223	4065610.9085	3521042.3739
sp|P53657|KPYR_MOUSE	P53657	KPYR_MOUSE	Pklr	574	Mus musculus OX=10090	Pyruvate kinase PKLR 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	8	8	8	1487181084	5559888	5559888	16C(57.0214), 18M(15.9949), 25K(229.1629), N-term(229.1629)			278569.6548	187879.7946	248378.5284	378150.6395	485380.6152	362127.5278	395497.5930	305461.3418	426002.5728	315621.2247
sp|P53808|PPCT_MOUSE	P53808	PPCT_MOUSE	Pctp	214	Mus musculus OX=10090	Phosphatidylcholine transfer protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	5127988	5127988	5127988	12K(229.1629), 17K(229.1629), 5C(57.0214), 6C(57.0214), N-term(229.1629), N-term(42.0106)			174015.5373	156581.6858	130395.5385	159656.6168	193658.8359	131397.4097	191705.6957	139905.4590	176689.2625	160620.3698
sp|P53810|PIPNA_MOUSE	P53810	PIPNA_MOUSE	Pitpna	271	Mus musculus OX=10090	Phosphatidylinositol transfer protein alpha isoform 	1:Experimental evidence at protein level	1.0000	0.9990	24	23	24	57	55	57	41605999	41605999	41605999	10K(229.1629), 13K(229.1629), 15K(229.1629), 17K(229.1629), 19K(229.1629), 23K(229.1629), 24K(229.1629), 2C(57.0214), 3K(229.1629), 4C(57.0214), 5M(15.9949), 6C(57.0214), 6K(229.1629), 6S(229.1629), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1629)			5248413.8756	6615746.7223	4545541.9734	5005329.9606	7224632.1182	5691646.7682	4924259.2483	4154592.4988	5264765.3382	3596056.1262
sp|P53811|PIPNB_MOUSE	P53811	PIPNB_MOUSE	Pitpnb	271	Mus musculus OX=10090	Phosphatidylinositol transfer protein beta isoform 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	6153923	6066545	6066545	21K(229.1629), 23K(229.1629), 2K(229.1629), 5C(57.0214), 8C(57.0214), 9K(229.1629), N-term(229.1629)			312165.7136	298033.0765	250747.4608	255198.2313	392551.7422	297367.7615	322805.0878	267701.4679	264466.2984	243360.0174
sp|P53986|MOT1_MOUSE	P53986	MOT1_MOUSE	Slc16a1	493	Mus musculus OX=10090	Monocarboxylate transporter 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	8	8	8	16250691	16250691	16250691	10K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 2K(229.1629), 3K(229.1629), N-term(229.1629)			982561.6319	873223.1861	754235.2279	622935.2104	917693.4492	918924.5652	839880.4026	751165.2057	521509.4877	681841.7548
sp|P53994|RAB2A_MOUSE	P53994	RAB2A_MOUSE	Rab2a	212	Mus musculus OX=10090	Ras-related protein Rab-2A 	1:Experimental evidence at protein level	1.0000	0.9990	15	6	15	41	16	41	47461028	43761086	47461028	10K(229.1629), 10S(229.1629), 11K(229.1629), 12K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 1K(229.1629), 2C(57.0214), 3S(229.1629), 7K(229.1629), 7M(15.9949), N-term(229.1629), N-term(42.0106)			2577843.6443	2863380.4200	2067395.0557	2520388.8587	3336279.0928	3102384.4483	2995241.9157	2579180.9364	2799674.2954	2388975.8404
sp|P53996-2|CNBP_MOUSE	P53996-2	CNBP_MOUSE	Cnbp	170	Mus musculus OX=10090	Isoform 2 of CCHC-type zinc finger nucleic acid binding protein 		1.0000	0.9990	11	0	11	35	0	35	102830450	     0	102830450	11C(57.0214), 12C(57.0214), 12K(229.1629), 13C(57.0214), 13K(229.1629), 1C(57.0214), 1C(57.0214), 2C(57.0214), 3C(57.0214), 3S(229.1629), 4C(57.0214), 4S(229.1629), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629), N-term(42.0106)		sp|P53996-3|CNBP_MOUSE	7768289.5075	9697810.7183	7528667.6174	5251316.7951	9075251.2476	8402261.9813	5658187.9943	4242559.4166	4856322.7720	3620502.6255
sp|P54071|IDHP_MOUSE	P54071	IDHP_MOUSE	Idh2	452	Mus musculus OX=10090	Isocitrate dehydrogenase [NADP], mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	30	27	30	167	154	167	260724008	215026504	260724008	10K(229.1629), 10M(15.9949), 10S(229.1629), 11K(229.1629), 11M(15.9949), 13K(229.1629), 13M(15.9949), 14C(57.0214), 15K(229.1629), 15M(15.9949), 16K(229.1629), 17K(229.1629), 1C(57.0214), 1C(57.0214), 1K(229.1629), 21M(15.9949), 26K(229.1629), 27C(57.0214), 2C(57.0214), 2K(229.1629), 31K(229.1629), 3K(229.1629), 5C(57.0214), 5K(229.1629), 5M(15.9949), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9C(57.0214), 9K(229.1629), N-term(229.1629)			23999148.2416	20706947.1622	28943155.0144	25580180.5882	34074488.8042	55624289.3379	25680722.7741	24347064.7116	20715197.3780	17440817.5345
sp|P54285|CACB3_MOUSE	P54285	CACB3_MOUSE	Cacnb3	484	Mus musculus OX=10090	Voltage-dependent L-type calcium channel subunit beta-3 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	5	5	5	70890150	13845407	13845407	9K(229.1629), N-term(229.1629)			226454.1122	245481.9496	189443.5919	163595.7672	250384.9414	210567.0509	197591.4872	148242.4783	161836.6384	129212.0719
sp|P54310-2|LIPS_MOUSE	P54310-2	LIPS_MOUSE	Lipe	802	Mus musculus OX=10090	Isoform 2 of Hormone-sensitive lipase 		1.0000	0.9990	9	0	9	12	0	12	7525375	     0	7525375	11S(229.1629), 13M(15.9949), 15K(229.1629), 15M(15.9949), 16C(57.0214), 16K(229.1629), 4M(15.9949), 5M(15.9949), 6S(229.1629), 9K(229.1629), N-term(229.1629)		sp|P54310|LIPS_MOUSE	304581.7558	268899.6799	224870.5087	268323.4839	353249.1572	296006.9233	368806.2853	260310.4657	330190.5706	318679.7903
sp|P54726|RD23A_MOUSE	P54726	RD23A_MOUSE	Rad23a	363	Mus musculus OX=10090	UV excision repair protein RAD23 homolog A 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	24	24	24	34707070	30215538	30215538	10K(229.1629), 16C(57.0214), 18K(229.1629), 2K(229.1629), 3K(229.1629), 3M(15.9949), 3S(229.1629), 7K(229.1629), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1629)			1438249.3869	1604287.8836	1153784.0484	1106866.4144	1741241.1758	1427376.7163	1375931.6571	1290569.3391	1330980.0097	1128666.8444
sp|P54728|RD23B_MOUSE	P54728	RD23B_MOUSE	Rad23b	416	Mus musculus OX=10090	UV excision repair protein RAD23 homolog B 	1:Experimental evidence at protein level	1.0000	0.9990	15	12	15	38	31	38	35392745	32628580	35392745	10K(229.1629), 11K(229.1629), 16C(57.0214), 18K(229.1629), 27M(15.9949), 2K(229.1629), 6M(15.9949), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1629)			4477448.7809	5225419.0173	3751679.0277	3745047.0560	5440264.3967	4293633.4633	4564000.7876	3763829.0231	3912643.8722	3419004.8751
sp|P54729|NUB1_MOUSE	P54729	NUB1_MOUSE	Nub1	614	Mus musculus OX=10090	NEDD8 ultimate buster 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	2145870	2145870	2145870	12K(229.1629), 15K(229.1629), 1C(57.0214), 3C(57.0214), 4C(57.0214), N-term(229.1629)			143194.8281	76141.3459	87074.4129	142715.0610	151097.0264	171234.9998	190204.1582	161396.0030	159774.4414	172233.7869
sp|P54731|FAF1_MOUSE	P54731	FAF1_MOUSE	Faf1	649	Mus musculus OX=10090	FAS-associated factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	21	21	21	7828263	7828263	7828263	11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 18K(229.1629), 9K(229.1629), N-term(229.1629)			763760.6486	839120.0275	662989.2449	666394.2420	895510.5955	788202.0819	898226.1132	747036.9416	795998.7684	753965.5368
